Count of Customer.ID,Column Labels,,,,
DB-131202,-$693.77,,,,
David Bremer,-$693.77,,,,
DB-131203,$22.37,,,,
David Bremer,$22.37,,,,
DB-131204,"-$1,421.77",,,,
David Bremer,"-$1,421.77",,,,
DB-132101,$146.84,,,,
Dean Braden,$146.84,,,,
DB-132102,$720.60,,,,
Dean Braden,$720.60,,,,
DB-132103,$442.56,,,,
Dean Braden,$442.56,,,,
DB-132104,$169.97,,,,
Dean Braden,$169.97,,,,
DB-132701,$143.07,,,,
Deborah Brumfield,$143.07,,,,
DB-132702,$443.69,,,,
Deborah Brumfield,$443.69,,,,
DB-132703,-$8.13,,,,
Deborah Brumfield,-$8.13,,,,
DB-132704,$841.83,,,,
Deborah Brumfield,$841.83,,,,
DB-133601,$8.27,,,,
Dennis Bolton,$8.27,,,,
DB-133602,$109.43,,,,
Dennis Bolton,$109.43,,,,
DB-133603,$439.74,,,,
Dennis Bolton,$439.74,,,,
DB-133604,$291.01,,,,
Dennis Bolton,$291.01,,,,
DB-134051,"$1,347.52",,,,
Denny Blanton,"$1,347.52",,,,
DB-134052,$107.70,,,,
Denny Blanton,$107.70,,,,
DB-134053,$94.68,,,,
Denny Blanton,$94.68,,,,
DB-134054,$438.91,,,,
Denny Blanton,$438.91,,,,
DB-135551,$311.55,,,,
Dorothy Badders,$311.55,,,,
DB-135552,$77.67,,,,
Dorothy Badders,$77.67,,,,
DB-135553,$444.47,,,,
Dorothy Badders,$444.47,,,,
DB-135554,$109.33,,,,
Dorothy Badders,$109.33,,,,
DB-136151,$705.39,,,,
Doug Bickford,$705.39,,,,
DB-136152,$968.49,,,,
Doug Bickford,$968.49,,,,
DB-136153,-$117.43,,,,
Doug Bickford,-$117.43,,,,
DB-136154,$438.80,,,,
Doug Bickford,$438.80,,,,
DB-136601,$186.02,,,,
Duane Benoit,$186.02,,,,
DB-136602,"$1,401.98",,,,
Duane Benoit,"$1,401.98",,,,
DB-136603,-$498.34,,,,
Duane Benoit,-$498.34,,,,
DB-136604,$177.67,,,,
Duane Benoit,$177.67,,,,
DB-29101,$198.42,,,,
Daniel Byrd,$198.42,,,,
DB-29102,$207.54,,,,
Daniel Byrd,$207.54,,,,
DB-29103,$468.99,,,,
Daniel Byrd,$468.99,,,,
DB-29701,$30.57,,,,
Darren Budd,$30.57,,,,
DB-29702,$93.15,,,,
Darren Budd,$93.15,,,,
DB-30601,$59.08,,,,
Dave Brooks,$59.08,,,,
DB-30602,$277.66,,,,
Dave Brooks,$277.66,,,,
DB-31201,-$272.90,,,,
David Bremer,-$272.90,,,,
DB-31202,$30.78,,,,
David Bremer,$30.78,,,,
DB-32101,-$42.76,,,,
Dean Braden,-$42.76,,,,
DB-32102,-$11.40,,,,
Dean Braden,-$11.40,,,,
DB-32701,$135.75,,,,
Deborah Brumfield,$135.75,,,,
DB-32702,$84.03,,,,
Deborah Brumfield,$84.03,,,,
DB-33601,"$1,074.27",,,,
Dennis Bolton,"$1,074.27",,,,
DB-34051,-$30.26,,,,
Denny Blanton,-$30.26,,,,
DB-35551,$33.45,,,,
Dorothy Badders,$33.45,,,,
DB-35552,$265.81,,,,
Dorothy Badders,$265.81,,,,
DB-36151,$917.50,,,,
Doug Bickford,$917.50,,,,
DB-36152,$54.93,,,,
Doug Bickford,$54.93,,,,
DB-36601,$173.43,,,,
Duane Benoit,$173.43,,,,
DB-36602,-$22.97,,,,
Duane Benoit,-$22.97,,,,
DC-128501,$155.82,,,,
Dan Campbell,$155.82,,,,
DC-128502,$273.96,,,,
Dan Campbell,$273.96,,,,
DC-128503,$352.29,,,,
Dan Campbell,$352.29,,,,
DC-128504,"-$1,441.63",,,,
Dan Campbell,"-$1,441.63",,,,
DC-132851,$144.36,,,,
Debra Catini,$144.36,,,,
DC-132852,$48.79,,,,
Debra Catini,$48.79,,,,
DC-132853,$718.17,,,,
Debra Catini,$718.17,,,,
DC-132854,$132.07,,,,
Debra Catini,$132.07,,,,
DC-28501,$207.83,,,,
Dan Campbell,$207.83,,,,
DC-28502,$209.76,,,,
Dan Campbell,$209.76,,,,
DC-28503,$171.48,,,,
Dan Campbell,$171.48,,,,
DC-32851,$146.34,,,,
Debra Catini,$146.34,,,,
DC-32852,-$324.40,,,,
Debra Catini,-$324.40,,,,
DD-135701,$156.29,,,,
Dorothy Dickinson,$156.29,,,,
DD-135702,$660.89,,,,
Dorothy Dickinson,$660.89,,,,
DD-135703,$106.16,,,,
Dorothy Dickinson,$106.16,,,,
DD-135704,$36.43,,,,
Dorothy Dickinson,$36.43,,,,
DD-35701,$422.22,,,,
Dorothy Dickinson,$422.22,,,,
DD-35702,$17.66,,,,
Dorothy Dickinson,$17.66,,,,
DE-132551,$453.00,,,,
Deanra Eno,$453.00,,,,
DE-132552,$395.54,,,,
Deanra Eno,$395.54,,,,
DE-132553,$344.88,,,,
Deanra Eno,$344.88,,,,
DE-132554,$464.47,,,,
Deanra Eno,$464.47,,,,
DE-32551,$48.99,,,,
Deanra Eno,$48.99,,,,
DE-32552,$28.62,,,,
Deanra Eno,$28.62,,,,
DF-131351,-$133.28,,,,
David Flashing,-$133.28,,,,
DF-131352,$912.32,,,,
David Flashing,$912.32,,,,
DF-131353,-$45.73,,,,
David Flashing,-$45.73,,,,
DF-131354,-$259.31,,,,
David Flashing,-$259.31,,,,
DF-31351,$259.02,,,,
David Flashing,$259.02,,,,
DF-31352,-$369.95,,,,
David Flashing,-$369.95,,,,
DG-133001,$940.84,,,,
Deirdre Greer,$940.84,,,,
DG-133002,$80.88,,,,
Deirdre Greer,$80.88,,,,
DG-133003,$482.76,,,,
Deirdre Greer,$482.76,,,,
DG-133004,$562.78,,,,
Deirdre Greer,$562.78,,,,
DG-33001,$317.09,,,,
Deirdre Greer,$317.09,,,,
DG-33002,-$10.03,,,,
Deirdre Greer,-$10.03,,,,
DH-130751,-$364.38,,,,
Dave Hallsten,-$364.38,,,,
DH-130752,$380.32,,,,
Dave Hallsten,$380.32,,,,
DH-130753,$160.89,,,,
Dave Hallsten,$160.89,,,,
DH-130754,"$1,193.74",,,,
Dave Hallsten,"$1,193.74",,,,
DH-136751,$520.65,,,,
Duane Huffman,$520.65,,,,
DH-136752,$260.44,,,,
Duane Huffman,$260.44,,,,
DH-136753,-$54.76,,,,
Duane Huffman,-$54.76,,,,
DH-136754,$116.67,,,,
Duane Huffman,$116.67,,,,
DH-30751,$427.08,,,,
Dave Hallsten,$427.08,,,,
DH-30752,-$115.79,,,,
Dave Hallsten,-$115.79,,,,
DH-36751,"$1,160.05",,,,
Duane Huffman,"$1,160.05",,,,
DH-36752,$2.67,,,,
Duane Huffman,$2.67,,,,
DH-36753,$145.43,,,,
Duane Huffman,$145.43,,,,
DJ-134201,"$1,184.04",,,,
Denny Joy,"$1,184.04",,,,
DJ-134202,"$1,245.52",,,,
Denny Joy,"$1,245.52",,,,
DJ-134203,$260.54,,,,
Denny Joy,$260.54,,,,
DJ-134204,$483.04,,,,
Denny Joy,$483.04,,,,
DJ-135101,$655.65,,,,
Don Jones,$655.65,,,,
DJ-135102,$854.40,,,,
Don Jones,$854.40,,,,
DJ-135103,$840.56,,,,
Don Jones,$840.56,,,,
DJ-135104,$345.25,,,,
Don Jones,$345.25,,,,
DJ-136301,-$261.49,,,,
Doug Jacobs,-$261.49,,,,
DJ-136302,$781.74,,,,
Doug Jacobs,$781.74,,,,
DJ-136303,$954.06,,,,
Doug Jacobs,$954.06,,,,
DJ-136304,$731.56,,,,
Doug Jacobs,$731.56,,,,
DJ-34201,$72.90,,,,
Denny Joy,$72.90,,,,
DJ-34202,$9.36,,,,
Denny Joy,$9.36,,,,
DJ-35101,$846.51,,,,
Don Jones,$846.51,,,,
DJ-35102,$73.56,,,,
Don Jones,$73.56,,,,
DJ-35103,$694.53,,,,
Don Jones,$694.53,,,,
DJ-36301,$95.76,,,,
Doug Jacobs,$95.76,,,,
DJ-36302,$374.12,,,,
Doug Jacobs,$374.12,,,,
DK-128351,$449.78,,,,
Damala Kotsonis,$449.78,,,,
DK-128352,"$1,549.83",,,,
Damala Kotsonis,"$1,549.83",,,,
DK-128353,-$248.55,,,,
Damala Kotsonis,-$248.55,,,,
DK-128354,$881.12,,,,
Damala Kotsonis,$881.12,,,,
DK-128951,$447.36,,,,
Dana Kaydos,$447.36,,,,
DK-128952,-$400.98,,,,
Dana Kaydos,-$400.98,,,,
DK-128953,$96.63,,,,
Dana Kaydos,$96.63,,,,
DK-128954,$937.65,,,,
Dana Kaydos,$937.65,,,,
DK-129851,$471.65,,,,
Darren Koutras,$471.65,,,,
DK-129852,$550.40,,,,
Darren Koutras,$550.40,,,,
DK-129853,$452.11,,,,
Darren Koutras,$452.11,,,,
DK-129854,-$107.35,,,,
Darren Koutras,-$107.35,,,,
DK-130901,"$1,396.14",,,,
Dave Kipp,"$1,396.14",,,,
DK-130902,"$1,927.28",,,,
Dave Kipp,"$1,927.28",,,,
DK-130903,$144.62,,,,
Dave Kipp,$144.62,,,,
DK-130904,$536.39,,,,
Dave Kipp,$536.39,,,,
DK-131501,$442.27,,,,
David Kendrick,$442.27,,,,
DK-131502,$983.41,,,,
David Kendrick,$983.41,,,,
DK-131503,$389.10,,,,
David Kendrick,$389.10,,,,
DK-131504,$249.94,,,,
David Kendrick,$249.94,,,,
DK-132251,$79.66,,,,
Dean Katz,$79.66,,,,
DK-132252,$253.71,,,,
Dean Katz,$253.71,,,,
DK-132253,$355.05,,,,
Dean Katz,$355.05,,,,
DK-132254,$209.90,,,,
Dean Katz,$209.90,,,,
DK-133751,$425.39,,,,
Dennis Kane,$425.39,,,,
DK-133752,$90.35,,,,
Dennis Kane,$90.35,,,,
DK-133753,"$1,266.99",,,,
Dennis Kane,"$1,266.99",,,,
DK-133754,$377.08,,,,
Dennis Kane,$377.08,,,,
DK-28351,$266.81,,,,
Damala Kotsonis,$266.81,,,,
DK-28352,$18.85,,,,
Damala Kotsonis,$18.85,,,,
DK-28951,$86.49,,,,
Dana Kaydos,$86.49,,,,
DK-28952,$196.41,,,,
Dana Kaydos,$196.41,,,,
DK-29851,-$78.89,,,,
Darren Koutras,-$78.89,,,,
DK-30901,-$0.43,,,,
Dave Kipp,-$0.43,,,,
DK-30902,$76.56,,,,
Dave Kipp,$76.56,,,,
DK-31501,$106.98,,,,
David Kendrick,$106.98,,,,
DK-31502,$7.43,,,,
David Kendrick,$7.43,,,,
DK-32251,$101.64,,,,
Dean Katz,$101.64,,,,
DK-32252,$7.13,,,,
Dean Katz,$7.13,,,,
DK-33751,$434.91,,,,
Dennis Kane,$434.91,,,,
DK-33752,$23.88,,,,
Dennis Kane,$23.88,,,,
DK-33753,$346.92,,,,
Dennis Kane,$346.92,,,,
DL-128651,$920.13,,,,
Dan Lawera,$920.13,,,,
DL-128652,-$850.78,,,,
Dan Lawera,-$850.78,,,,
DL-128653,-$111.26,,,,
Dan Lawera,-$111.26,,,,
DL-128654,$322.24,,,,
Dan Lawera,$322.24,,,,
DL-129251,"$1,275.32",,,,
Daniel Lacy,"$1,275.32",,,,
DL-129252,$31.56,,,,
Daniel Lacy,$31.56,,,,
DL-129253,$100.70,,,,
Daniel Lacy,$100.70,,,,
DL-129254,$4.21,,,,
Daniel Lacy,$4.21,,,,
DL-133151,$448.26,,,,
Delfina Latchford,$448.26,,,,
DL-133152,"$2,243.46",,,,
Delfina Latchford,"$2,243.46",,,,
DL-133153,-$715.37,,,,
Delfina Latchford,-$715.37,,,,
DL-133154,$288.87,,,,
Delfina Latchford,$288.87,,,,
DL-133301,"$1,816.84",,,,
Denise Leinenbach,"$1,816.84",,,,
DL-133302,$214.43,,,,
Denise Leinenbach,$214.43,,,,
DL-133303,$398.80,,,,
Denise Leinenbach,$398.80,,,,
DL-133304,$222.68,,,,
Denise Leinenbach,$222.68,,,,
DL-134951,"$1,172.77",,,,
Dionis Lloyd,"$1,172.77",,,,
DL-134952,$851.64,,,,
Dionis Lloyd,$851.64,,,,
DL-134953,$503.14,,,,
Dionis Lloyd,$503.14,,,,
DL-134954,-$52.79,,,,
Dionis Lloyd,-$52.79,,,,
Dl-136001,"$1,199.67",,,,
Dorris liebe,"$1,199.67",,,,
Dl-136002,$376.13,,,,
Dorris liebe,$376.13,,,,
Dl-136003,-$28.10,,,,
Dorris liebe,-$28.10,,,,
Dl-136004,$175.24,,,,
Dorris liebe,$175.24,,,,
DL-28651,$189.12,,,,
Dan Lawera,$189.12,,,,
DL-28652,$30.66,,,,
Dan Lawera,$30.66,,,,
DL-28653,-$74.08,,,,
Dan Lawera,-$74.08,,,,
DL-29251,-$229.65,,,,
Daniel Lacy,-$229.65,,,,
DL-29252,-$73.70,,,,
Daniel Lacy,-$73.70,,,,
DL-33151,$154.89,,,,
Delfina Latchford,$154.89,,,,
DL-33152,$378.42,,,,
Delfina Latchford,$378.42,,,,
DL-33301,$0.54,,,,
Denise Leinenbach,$0.54,,,,
DL-33302,$7.44,,,,
Denise Leinenbach,$7.44,,,,
DL-33303,$86.76,,,,
Denise Leinenbach,$86.76,,,,
DL-34951,-$819.19,,,,
Dionis Lloyd,-$819.19,,,,
DL-34952,-$94.70,,,,
Dionis Lloyd,-$94.70,,,,
Dl-36001,$99.28,,,,
Dorris liebe,$99.28,,,,
Dl-36002,$29.49,,,,
Dorris liebe,$29.49,,,,
DM-129551,$856.05,,,,
Dario Medina,$856.05,,,,
DM-129552,$307.12,,,,
Dario Medina,$307.12,,,,
DM-129553,$934.29,,,,
Dario Medina,$934.29,,,,
DM-129554,$108.76,,,,
Dario Medina,$108.76,,,,
DM-130151,-$35.37,,,,
Darrin Martin,-$35.37,,,,
DM-130152,-$265.21,,,,
Darrin Martin,-$265.21,,,,
DM-130153,$154.04,,,,
Darrin Martin,$154.04,,,,
DM-130154,"$1,677.39",,,,
Darrin Martin,"$1,677.39",,,,
DM-133451,"$1,577.64",,,,
Denise Monton,"$1,577.64",,,,
DM-133452,-$213.09,,,,
Denise Monton,-$213.09,,,,
DM-133453,$193.20,,,,
Denise Monton,$193.20,,,,
DM-133454,"$1,319.06",,,,
Denise Monton,"$1,319.06",,,,
DM-135251,$364.09,,,,
Don Miller,$364.09,,,,
DM-135252,"-$1,682.97",,,,
Don Miller,"-$1,682.97",,,,
DM-135253,$193.55,,,,
Don Miller,$193.55,,,,
DM-135254,$199.77,,,,
Don Miller,$199.77,,,,
DM-29551,-$172.45,,,,
Dario Medina,-$172.45,,,,
DM-29552,$44.34,,,,
Dario Medina,$44.34,,,,
DM-29553,$228.82,,,,
Dario Medina,$228.82,,,,
DM-30151,$79.05,,,,
Darrin Martin,$79.05,,,,
DM-30152,$381.84,,,,
Darrin Martin,$381.84,,,,
DM-33451,-$96.93,,,,
Denise Monton,-$96.93,,,,
DM-33452,"-$5,377.68",,,,
Denise Monton,"-$5,377.68",,,,
DM-35251,$58.05,,,,
Don Miller,$58.05,,,,
DM-35252,$422.40,,,,
Don Miller,$422.40,,,,
DM-35253,$171.70,,,,
Don Miller,$171.70,,,,
DN-136901,$314.47,,,,
Duane Noonan,$314.47,,,,
DN-136902,$267.26,,,,
Duane Noonan,$267.26,,,,
DN-136903,-$410.85,,,,
Duane Noonan,-$410.85,,,,
DN-136904,$540.54,,,,
Duane Noonan,$540.54,,,,
DN-36901,-$637.76,,,,
Duane Noonan,-$637.76,,,,
DN-36902,$251.19,,,,
Duane Noonan,$251.19,,,,
DN-36903,-$91.30,,,,
Duane Noonan,-$91.30,,,,
DO-134351,"$3,056.29",,,,
Denny Ordway,"$3,056.29",,,,
DO-134352,$77.11,,,,
Denny Ordway,$77.11,,,,
DO-134353,$112.93,,,,
Denny Ordway,$112.93,,,,
DO-134354,-$38.91,,,,
Denny Ordway,-$38.91,,,,
DO-136451,"$1,073.11",,,,
Doug O'Connell,"$1,073.11",,,,
DO-136452,$186.34,,,,
Doug O'Connell,$186.34,,,,
DO-136453,$444.31,,,,
Doug O'Connell,$444.31,,,,
DO-136454,$294.07,,,,
Doug O'Connell,$294.07,,,,
DO-34351,$547.36,,,,
Denny Ordway,$547.36,,,,
DO-34352,$382.85,,,,
Denny Ordway,$382.85,,,,
DO-36451,-$537.95,,,,
Doug O'Connell,-$537.95,,,,
DO-36452,$311.19,,,,
Doug O'Connell,$311.19,,,,
DO-36453,$45.66,,,,
Doug O'Connell,$45.66,,,,
DP-130001,$369.28,,,,
Darren Powers,$369.28,,,,
DP-130002,"-$1,914.56",,,,
Darren Powers,"-$1,914.56",,,,
DP-130003,$354.22,,,,
Darren Powers,$354.22,,,,
DP-130004,$241.45,,,,
Darren Powers,$241.45,,,,
DP-131051,"$2,220.34",,,,
Dave Poirier,"$2,220.34",,,,
DP-131052,$188.39,,,,
Dave Poirier,$188.39,,,,
DP-131053,$128.04,,,,
Dave Poirier,$128.04,,,,
DP-131054,$563.18,,,,
Dave Poirier,$563.18,,,,
DP-131651,"$1,981.14",,,,
David Philippe,"$1,981.14",,,,
DP-131652,-$306.22,,,,
David Philippe,-$306.22,,,,
DP-131653,$174.33,,,,
David Philippe,$174.33,,,,
DP-131654,-$40.94,,,,
David Philippe,-$40.94,,,,
Dp-132401,"$2,203.70",,,,
Dean percer,"$2,203.70",,,,
Dp-132402,$217.47,,,,
Dean percer,$217.47,,,,
Dp-132403,"$1,068.16",,,,
Dean percer,"$1,068.16",,,,
Dp-132404,$333.36,,,,
Dean percer,$333.36,,,,
DP-133901,-$36.18,,,,
Dennis Pardue,-$36.18,,,,
DP-133902,$537.28,,,,
Dennis Pardue,$537.28,,,,
DP-133903,$296.90,,,,
Dennis Pardue,$296.90,,,,
DP-133904,"$1,571.83",,,,
Dennis Pardue,"$1,571.83",,,,
DP-30001,$166.71,,,,
Darren Powers,$166.71,,,,
DP-30002,$6.84,,,,
Darren Powers,$6.84,,,,
DP-30003,$258.60,,,,
Darren Powers,$258.60,,,,
DP-31051,"$2,730.45",,,,
Dave Poirier,"$2,730.45",,,,
DP-31052,"-$1,230.26",,,,
Dave Poirier,"-$1,230.26",,,,
DP-31651,-$821.13,,,,
David Philippe,-$821.13,,,,
DP-31652,-$152.66,,,,
David Philippe,-$152.66,,,,
Dp-32401,$66.69,,,,
Dean percer,$66.69,,,,
Dp-32402,$30.42,,,,
Dean percer,$30.42,,,,
Dp-32403,$39.36,,,,
Dean percer,$39.36,,,,
DP-33901,$131.94,,,,
Dennis Pardue,$131.94,,,,
DP-33902,$19.08,,,,
Dennis Pardue,$19.08,,,,
DP-33903,$167.34,,,,
Dennis Pardue,$167.34,,,,
DR-128801,-$204.17,,,,
Dan Reichenbach,-$204.17,,,,
DR-128802,$259.87,,,,
Dan Reichenbach,$259.87,,,,
DR-128803,$415.08,,,,
Dan Reichenbach,$415.08,,,,
DR-128804,"$1,641.86",,,,
Dan Reichenbach,"$1,641.86",,,,
DR-129401,"$1,573.68",,,,
Daniel Raglin,"$1,573.68",,,,
DR-129402,$793.19,,,,
Daniel Raglin,$793.19,,,,
DR-129403,$269.98,,,,
Daniel Raglin,$269.98,,,,
DR-129404,"$2,869.08",,,,
Daniel Raglin,"$2,869.08",,,,
DR-28801,-$527.09,,,,
Dan Reichenbach,-$527.09,,,,
DR-28802,$398.84,,,,
Dan Reichenbach,$398.84,,,,
DR-29401,$592.66,,,,
Daniel Raglin,$592.66,,,,
DR-29402,$5.39,,,,
Daniel Raglin,$5.39,,,,
DS-130301,-$355.28,,,,
Darrin Sayre,-$355.28,,,,
DS-130302,-$20.15,,,,
Darrin Sayre,-$20.15,,,,
DS-130303,"$1,250.44",,,,
Darrin Sayre,"$1,250.44",,,,
DS-130304,$193.33,,,,
Darrin Sayre,$193.33,,,,
DS-131801,$758.08,,,,
David Smith,$758.08,,,,
DS-131802,$349.34,,,,
David Smith,$349.34,,,,
DS-131803,$398.67,,,,
David Smith,$398.67,,,,
DS-131804,$163.70,,,,
David Smith,$163.70,,,,
DS-30301,$201.72,,,,
Darrin Sayre,$201.72,,,,
DS-30302,$217.60,,,,
Darrin Sayre,$217.60,,,,
DS-31801,$46.23,,,,
David Smith,$46.23,,,,
DS-31802,-$2.60,,,,
David Smith,-$2.60,,,,
DV-130451,$913.06,,,,
Darrin Van Huff,$913.06,,,,
DV-130452,$247.33,,,,
Darrin Van Huff,$247.33,,,,
DV-130453,-$134.02,,,,
Darrin Van Huff,-$134.02,,,,
DV-130454,-$427.18,,,,
Darrin Van Huff,-$427.18,,,,
DV-134651,$650.90,,,,
Dianna Vittorini,$650.90,,,,
DV-134652,$112.95,,,,
Dianna Vittorini,$112.95,,,,
DV-134653,"$1,050.62",,,,
Dianna Vittorini,"$1,050.62",,,,
DV-134654,$353.21,,,,
Dianna Vittorini,$353.21,,,,
DV-30451,$115.79,,,,
Darrin Van Huff,$115.79,,,,
DV-30452,-$98.65,,,,
Darrin Van Huff,-$98.65,,,,
DV-34651,$33.69,,,,
Dianna Vittorini,$33.69,,,,
DV-34652,"$1,141.35",,,,
Dianna Vittorini,"$1,141.35",,,,
DW-131951,"$1,517.28",,,,
David Wiener,"$1,517.28",,,,
DW-131952,$144.86,,,,
David Wiener,$144.86,,,,
DW-131953,$48.12,,,,
David Wiener,$48.12,,,,
DW-131954,-$86.87,,,,
David Wiener,-$86.87,,,,
DW-134801,"$1,651.90",,,,
Dianna Wilson,"$1,651.90",,,,
DW-134802,$979.27,,,,
Dianna Wilson,$979.27,,,,
DW-134803,-$664.22,,,,
Dianna Wilson,-$664.22,,,,
DW-134804,"$1,348.76",,,,
Dianna Wilson,"$1,348.76",,,,
DW-135401,$640.34,,,,
Don Weiss,$640.34,,,,
DW-135402,$554.92,,,,
Don Weiss,$554.92,,,,
DW-135403,$206.95,,,,
Don Weiss,$206.95,,,,
DW-135404,$69.67,,,,
Don Weiss,$69.67,,,,
DW-135851,$830.05,,,,
Dorothy Wardle,$830.05,,,,
DW-135852,$77.28,,,,
Dorothy Wardle,$77.28,,,,
DW-135853,$181.38,,,,
Dorothy Wardle,$181.38,,,,
DW-135854,-$266.90,,,,
Dorothy Wardle,-$266.90,,,,
DW-31951,$9.24,,,,
David Wiener,$9.24,,,,
DW-31952,$106.48,,,,
David Wiener,$106.48,,,,
DW-34801,$151.78,,,,
Dianna Wilson,$151.78,,,,
DW-34802,"$1,201.11",,,,
Dianna Wilson,"$1,201.11",,,,
DW-34803,$360.51,,,,
Dianna Wilson,$360.51,,,,
DW-35401,-$42.54,,,,
Don Weiss,-$42.54,,,,
DW-35402,$121.35,,,,
Don Weiss,$121.35,,,,
DW-35403,"-$1,124.98",,,,
Don Weiss,"-$1,124.98",,,,
DW-35851,$36.56,,,,
Dorothy Wardle,$36.56,,,,
DW-35852,$12.18,,,,
Dorothy Wardle,$12.18,,,,
EA-140351,$526.07,,,,
Erin Ashbrook,$526.07,,,,
EA-140352,$213.29,,,,
Erin Ashbrook,$213.29,,,,
EA-140353,$180.56,,,,
Erin Ashbrook,$180.56,,,,
EA-140354,-$52.74,,,,
Erin Ashbrook,-$52.74,,,,
EA-40351,$0.89,,,,
Erin Ashbrook,$0.89,,,,
EB-137051,$205.18,,,,
Ed Braxton,$205.18,,,,
EB-137052,$687.00,,,,
Ed Braxton,$687.00,,,,
EB-137053,-$11.79,,,,
Ed Braxton,-$11.79,,,,
EB-137054,$13.62,,,,
Ed Braxton,$13.62,,,,
EB-137501,$237.38,,,,
Edward Becker,$237.38,,,,
EB-137502,$448.83,,,,
Edward Becker,$448.83,,,,
EB-137503,$762.67,,,,
Edward Becker,$762.67,,,,
EB-137504,-$80.29,,,,
Edward Becker,-$80.29,,,,
EB-138401,$848.58,,,,
Ellis Ballard,$848.58,,,,
EB-138402,"$3,459.66",,,,
Ellis Ballard,"$3,459.66",,,,
EB-138403,$502.06,,,,
Ellis Ballard,$502.06,,,,
EB-138404,$656.20,,,,
Ellis Ballard,$656.20,,,,
EB-138701,-$225.22,,,,
Emily Burns,-$225.22,,,,
EB-138702,$136.28,,,,
Emily Burns,$136.28,,,,
EB-138703,$14.78,,,,
Emily Burns,$14.78,,,,
EB-138704,$261.53,,,,
Emily Burns,$261.53,,,,
EB-139301,$254.59,,,,
Eric Barreto,$254.59,,,,
EB-139302,$970.30,,,,
Eric Barreto,$970.30,,,,
EB-139303,$159.98,,,,
Eric Barreto,$159.98,,,,
EB-139304,$0.60,,,,
Eric Barreto,$0.60,,,,
EB-139751,$398.32,,,,
Erica Bern,$398.32,,,,
EB-139752,"$1,314.55",,,,
Erica Bern,"$1,314.55",,,,
EB-139753,$777.80,,,,
Erica Bern,$777.80,,,,
EB-139754,$162.88,,,,
Erica Bern,$162.88,,,,
EB-141101,$861.30,,,,
Eugene Barchas,$861.30,,,,
EB-141102,"$2,169.04",,,,
Eugene Barchas,"$2,169.04",,,,
EB-141103,$70.51,,,,
Eugene Barchas,$70.51,,,,
EB-141104,$184.77,,,,
Eugene Barchas,$184.77,,,,
EB-141701,$331.91,,,,
Evan Bailliet,$331.91,,,,
EB-141702,$104.28,,,,
Evan Bailliet,$104.28,,,,
EB-141703,-$441.58,,,,
Evan Bailliet,-$441.58,,,,
EB-141704,$282.17,,,,
Evan Bailliet,$282.17,,,,
EB-37051,$506.97,,,,
Ed Braxton,$506.97,,,,
EB-37052,$87.63,,,,
Ed Braxton,$87.63,,,,
EB-37501,$17.85,,,,
Edward Becker,$17.85,,,,
EB-37502,$100.71,,,,
Edward Becker,$100.71,,,,
EB-38401,$2.70,,,,
Ellis Ballard,$2.70,,,,
EB-38402,$509.19,,,,
Ellis Ballard,$509.19,,,,
EB-38403,-$129.64,,,,
Ellis Ballard,-$129.64,,,,
EB-38701,-$113.38,,,,
Emily Burns,-$113.38,,,,
EB-38702,-$53.44,,,,
Emily Burns,-$53.44,,,,
EB-39301,$592.08,,,,
Eric Barreto,$592.08,,,,
EB-39302,$114.19,,,,
Eric Barreto,$114.19,,,,
EB-39751,$183.39,,,,
Erica Bern,$183.39,,,,
EB-39752,$193.80,,,,
Erica Bern,$193.80,,,,
EB-41101,-$53.25,,,,
Eugene Barchas,-$53.25,,,,
EB-41102,-$338.70,,,,
Eugene Barchas,-$338.70,,,,
EB-41701,$249.39,,,,
Evan Bailliet,$249.39,,,,
EB-41702,$39.45,,,,
Evan Bailliet,$39.45,,,,
EC-140501,$282.30,,,,
Erin Creighton,$282.30,,,,
EC-140502,$33.42,,,,
Erin Creighton,$33.42,,,,
EC-140503,$11.91,,,,
Erin Creighton,$11.91,,,,
EC-140504,$96.43,,,,
Erin Creighton,$96.43,,,,
EC-40501,$308.87,,,,
Erin Creighton,$308.87,,,,
EC-40502,$98.84,,,,
Erin Creighton,$98.84,,,,
ED-138851,"$1,046.61",,,,
Emily Ducich,"$1,046.61",,,,
ED-138852,$83.89,,,,
Emily Ducich,$83.89,,,,
ED-138853,"$1,132.32",,,,
Emily Ducich,"$1,132.32",,,,
ED-138854,$670.44,,,,
Emily Ducich,$670.44,,,,
ED-38851,-$180.68,,,,
Emily Ducich,-$180.68,,,,
ED-38852,$2.61,,,,
Emily Ducich,$2.61,,,,
ED-38853,-$182.75,,,,
Emily Ducich,-$182.75,,,,
EG-139001,"$1,804.11",,,,
Emily Grady,"$1,804.11",,,,
EG-139002,"$1,447.71",,,,
Emily Grady,"$1,447.71",,,,
EG-139003,$4.46,,,,
Emily Grady,$4.46,,,,
EG-139004,$104.27,,,,
Emily Grady,$104.27,,,,
EG-39001,-$929.24,,,,
Emily Grady,-$929.24,,,,
EG-39002,$172.93,,,,
Emily Grady,$172.93,,,,
EH-137651,$819.60,,,,
Edward Hooks,$819.60,,,,
EH-137652,-$608.99,,,,
Edward Hooks,-$608.99,,,,
EH-137653,$81.84,,,,
Edward Hooks,$81.84,,,,
EH-137654,"$1,393.52",,,,
Edward Hooks,"$1,393.52",,,,
EH-139451,-$23.57,,,,
